"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,25250.000000,4475.679879,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,64444.000000,4914.431256,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,151782.000000,9542.644929,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,587003.000000,25955.062184,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,758579.000000,19674.598208,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,1290202.000000,26809.882710,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,2098804.000000,71018.471589,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,2798759.000000,39575.322032,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,3805924.000000,91119.888951,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,4864736.000000,37333.005128,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,6236020.000000,175485.894998,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,9113257.000000,920792.962099,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,20284461.000000,4507513.637546,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.AddImagesWeighted2D.ijapi","ss",1,100,35321476.000000,3342417.081940,"ns/op",13
