"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1212198.000000,101054.162828,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1053420.000000,24030.003273,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1021281.000000,19569.351254,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1130174.000000,21412.973410,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1187096.000000,27387.941660,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1213942.000000,29604.075472,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1380656.000000,22772.949811,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1554683.000000,28165.168814,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1855640.000000,33834.867881,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,1979482.000000,29764.917871,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,2310588.000000,43402.117492,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,2475913.000000,55571.081261,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,4342521.000000,104668.977397,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar2D.clij","ss",1,100,7421982.000000,741560.689422,"ns/op",13
