"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1280117.000000,105097.021481,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1015764.000000,29200.125036,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1037448.000000,21945.613815,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1091613.000000,20168.958359,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1155318.000000,25894.703584,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1239111.000000,28085.798903,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1464009.000000,59433.957666,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1604679.000000,25393.720500,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,1850827.000000,32573.003734,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,2037385.000000,34621.589712,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,2321168.000000,41586.459732,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,2541669.000000,34387.431131,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,4603775.000000,323011.133804,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.BinaryAnd2D.clij","ss",1,100,8617570.000000,829413.872433,"ns/op",13
