"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,49005.000000,6181.081564,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,224697.000000,34946.438618,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,505282.000000,40736.042851,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,1672747.000000,115549.314851,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,2248099.000000,96834.832025,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,3756855.000000,111665.362869,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,6270819.000000,100656.054938,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,8606135.000000,145631.469472,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,11647281.000000,239855.198429,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,14834658.000000,290157.874958,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,18693963.000000,510876.288582,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,24475427.000000,391836.208631,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,54357280.000000,552250.667818,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.Erode2D.ijrun","ss",1,100,100374628.000000,3909002.493502,"ns/op",13
