"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,20897.000000,3917.035107,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,3220752.000000,220707.605059,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,5827461.000000,878173.820909,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,8000090.000000,479355.726685,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,10564543.000000,648102.470914,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,12891268.000000,447655.797192,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,15382091.000000,432636.004911,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,21024967.000000,901319.441476,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,25902594.000000,1179302.849725,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,31783070.000000,911519.403242,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,41913338.000000,3312680.064529,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,52789316.000000,4021263.866302,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,65174780.000000,5284847.110003,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.Erode3D.vib","ss",1,100,57893665.000000,17424522.677959,"ns/op",13
