"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1136915.000000,74835.858762,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,957795.000000,23566.952895,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,979600.000000,25703.927252,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1035976.000000,21738.466087,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1094604.000000,24751.499915,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1186939.000000,31223.005397,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1445535.000000,300688.181114,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1537633.000000,26058.290479,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1763335.000000,41766.902074,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,1900033.000000,32228.428670,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,2337498.000000,303916.431564,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,2388692.000000,45761.060546,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,4666300.000000,597120.996821,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.FixedThreshold2D.clij","ss",1,100,7475665.000000,1858647.598863,"ns/op",13
