"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,1081163.000000,183874.014739,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,2241633.000000,29559.157520,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,3379939.000000,33546.724092,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,5091066.000000,158481.001327,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,6511581.000000,127460.489696,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,7402904.000000,135482.785878,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,9195457.000000,189185.056309,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,10668184.000000,68412.777118,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,14477899.000000,232401.113247,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,19577737.000000,198924.491479,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,23833203.000000,298546.901385,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,29511057.000000,223960.582127,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.clij","ss",1,100,36756659.000000,474686.606883,"ns/op",12
