"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,36524.000000,5719.700449,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,5977615.000000,114309.052335,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,11398238.000000,148366.080521,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,22255730.000000,430459.104839,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,43148747.000000,660304.604303,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,53970844.000000,686262.084004,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,64272667.000000,937731.796841,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,85573502.000000,1166878.795508,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,108674387.000000,1703972.485234,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,131773580.000000,1197676.547067,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,153855488.000000,894710.306594,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,175185270.000000,1433050.907364,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,219598186.000000,1359555.610729,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,263644250.000000,2709155.272400,"ns/op",13
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,309877524.000000,3240503.343981,"ns/op",14
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,355767872.000000,3251158.247023,"ns/op",15
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,401004155.000000,3179852.046075,"ns/op",16
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,557669187.000000,15425816.642940,"ns/op",17
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,631392792.000000,6024817.293867,"ns/op",18
"net.haesleinhuepf.clij.benchmark.jmh.Flip3D.ijrun","ss",1,100,715381130.000000,4600834.818690,"ns/op",19
