"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1500296.000000,127912.043827,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,732892657.000000,5148681.969808,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,774546225.000000,5015922.856431,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,796482185.000000,2430037.019972,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,867255782.000000,3555252.170109,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,901931366.000000,5307983.582704,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,937862764.000000,2594557.048652,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,996506919.000000,4611455.012178,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1080135125.000000,6026877.228884,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1171327184.000000,10921084.841855,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1224432937.000000,10486485.323059,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1285011545.000000,8423740.892081,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1431564968.000000,9200996.602675,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1577989223.000000,9256496.851893,"ns/op",2,13
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1720315328.000000,12083409.606594,"ns/op",2,14
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,1856121353.000000,13190397.175042,"ns/op",2,15
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,2065341771.000000,46565735.258571,"ns/op",2,16
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,2535019160.000000,13268989.839107,"ns/op",2,17
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,2788539669.000000,14259048.466739,"ns/op",2,18
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.ijrun","ss",1,100,3101732020.000000,22917421.180707,"ns/op",2,19
