"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,118074.000000,20401.811572,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,15072694.000000,244814.951262,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,23820722.000000,795496.683881,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,29227761.000000,983455.641002,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,35314050.000000,1103946.547296,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,40208024.000000,636602.151341,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,47452727.000000,1859403.533196,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,54060109.950000,1260392.584928,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,60524886.000000,1623621.307648,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,70241611.000000,2515444.503338,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,94134083.010000,7010477.032238,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,116310365.960000,8872177.818694,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,144526006.010000,12418760.331645,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.MaximumZProjection.ijrun","ss",1,100,104583495.890000,27355992.193931,"ns/op",13
