"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,1897062.000000,104509.146368,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,23424500.000000,67047.644246,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,45320548.000000,96240.508345,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,67340981.000000,340635.991398,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,89166647.000000,127106.313297,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,111605203.000000,547215.968498,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,135305944.000000,1338638.330093,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,186877089.000000,1037298.710529,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,236635135.000000,1007213.286431,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,295125065.000000,1640572.566596,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,387359112.000000,1033779.013709,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,486924839.000000,1124829.606044,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,612090900.000000,3001147.676099,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.Minimum3D.clij","ss",1,100,470945436.000000,129232274.315360,"ns/op",2,13
