"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,1326657.000000,88445.198060,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,2287032.000000,48200.210746,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,3378917.000000,52997.274674,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,4477098.000000,56922.492916,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,5670235.000000,65775.729108,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,6800536.000000,73071.031424,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,7938493.000000,97890.971287,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,10093625.000000,68404.927160,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,13898721.000000,188704.689489,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,17466307.000000,360115.285737,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,22241465.000000,193778.432066,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,29070291.000000,1188286.459039,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,35463139.000000,911021.303987,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.MultiplyScalar3D.clij","ss",1,100,28435818.000000,7569180.259393,"ns/op",13
