"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,114629.000000,10644.174706,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,17931852.000000,572256.679009,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,34608932.000000,1017639.319013,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,58270130.000000,1538557.405879,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,77163340.000000,1334567.692546,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,97855708.000000,2243826.365431,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,114149881.000000,2653063.962368,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,159271738.000000,3287750.344723,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,203819923.000000,3327834.151570,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,266778110.000000,5527291.789695,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,355488028.000000,6199381.526622,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,488814625.000000,7614678.511496,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,603454780.000000,8715156.502871,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.RadialReslice.ijapi","ss",1,100,526214773.000000,136665479.455793,"ns/op",13
