"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,985202.660000,413199.009552,"ns/op",0
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,14483124.250000,518767.682974,"ns/op",1
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,18441095.300000,1721531.697511,"ns/op",2
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,37062417.690000,1019979.677641,"ns/op",3
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,37432720.280000,950831.328573,"ns/op",4
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,37058605.260000,2990967.509361,"ns/op",5
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,32541937.200000,3375309.123289,"ns/op",6
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,41791321.930000,3848147.365497,"ns/op",7
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,59020183.520000,6494812.365616,"ns/op",8
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,52774520.780000,6026311.402733,"ns/op",9
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,68374071.080000,8215492.585847,"ns/op",10
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,76217226.520000,1986560.530086,"ns/op",11
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,92211038.740000,9955752.695845,"ns/op",12
"net.haesleinhuepf.clij.benchmark.jmh.AddScalar3D.ijrun","ss",1,100,83981558.930000,12136838.922696,"ns/op",13
