"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,1930639.340000,83384.199236,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,9098004.630000,195599.548014,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,13276902.170000,187942.155433,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,17533425.310000,183899.611183,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,22143745.580000,328060.033937,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,25253016.310000,288352.988703,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,28863808.180000,239410.913060,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,39393790.180000,607161.592777,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,50364901.850000,393852.568342,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,56362130.500000,566556.050344,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,74995510.740000,1210881.186814,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,86067503.270000,754645.378386,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,105008834.440000,1524194.952490,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.GaussianBlur3D.clij","ss",1,100,137822260.790000,1457817.739505,"ns/op",2,13
