"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: radius","Param: size"
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,1746296.940000,243879.625077,"ns/op",2,0
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,2143305.770000,134225.750283,"ns/op",2,1
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,2859228.530000,82328.597876,"ns/op",2,2
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,4053353.550000,59282.473413,"ns/op",2,3
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,6668923.130000,58239.714707,"ns/op",2,4
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,7880819.690000,102223.711182,"ns/op",2,5
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,9234071.730000,73913.644883,"ns/op",2,6
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,11828248.150000,81952.546229,"ns/op",2,7
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,14494546.590000,134601.332737,"ns/op",2,8
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,17133078.380000,61710.443134,"ns/op",2,9
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,19673735.000000,43366.270842,"ns/op",2,10
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,22251440.070000,51458.065340,"ns/op",2,11
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,27447050.940000,78894.810228,"ns/op",2,12
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,32638091.820000,36580.972092,"ns/op",2,13
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,37874148.030000,110798.256358,"ns/op",2,14
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,43102511.050000,64019.738906,"ns/op",2,15
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,48370463.920000,56451.643776,"ns/op",2,16
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,58596463.790000,636789.754940,"ns/op",2,17
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,68503530.130000,924304.107380,"ns/op",2,18
"net.haesleinhuepf.clij.benchmark.jmh.Mean3D.clij_sphere","ss",1,100,78132406.310000,995553.375370,"ns/op",2,19
